,MAE,MSE,RMSE
Model 1,7.3370143915940504,84.27664042180878,9.180230956888218
Model 2,13.92465897054913,271.4392588442223,16.475413768528618
Model 3,8.728209603402945,142.4334536682908,11.934548741711637
Model 4,18.469120969121846,418.04327594922876,20.44610662080262
Model 5,9.883221664888822,173.5459132178784,13.173682598950014
Model 6,7.249460867367788,68.9766142124163,8.30521608463117
